날짜,SPX Index,SPXT Index,VOO US Equity,KBPMGO10 Index,148070 KS Equity
2007-09-21,1405440,2195610,#N/A N/A,166.3187,#N/A N/A
2007-09-24,1395560,2180170,#N/A N/A,166.3926,#N/A N/A
2007-09-25,1397360,2183010,#N/A N/A,166.4173,#N/A N/A
2007-09-26,1404990,2195350,#N/A N/A,166.442,#N/A N/A
2007-09-27,1410090,2203400,#N/A N/A,166.1278,#N/A N/A
2007-09-28,1394990,2179830,#N/A N/A,166.1526,#N/A N/A
2007-10-01,1414840,2210870,#N/A N/A,166.0016,#N/A N/A
2007-10-02,1416640,2213690,#N/A N/A,166.1448,#N/A N/A
2007-10-03,1410650,2204780,#N/A N/A,166.1695,#N/A N/A
2007-10-04,1414090,2210180,#N/A N/A,166.6424,#N/A N/A
2007-10-05,1428000,2232560,#N/A N/A,167.1225,#N/A N/A
2007-10-08,1419990,2220040,#N/A N/A,166.739,#N/A N/A
2007-10-09,1437360,2247230,#N/A N/A,166.5383,#N/A N/A
2007-10-10,1437090,2246970,#N/A N/A,166.6058,#N/A N/A
2007-10-11,1422670,2224560,#N/A N/A,166.5218,#N/A N/A
2007-10-12,1433260,2241140,#N/A N/A,166.4342,#N/A N/A
2007-10-15,1421250,2222370,#N/A N/A,166.0585,#N/A N/A
2007-10-16,1412600,2208850,#N/A N/A,166.6443,#N/A N/A
2007-10-17,1414470,2211980,#N/A N/A,166.894,#N/A N/A
2007-10-18,1411100,2206760,#N/A N/A,166.6939,#N/A N/A
2007-10-19,1374950,2150230,#N/A N/A,167.2815,#N/A N/A
2007-10-22,1383870,2164220,#N/A N/A,168.1467,#N/A N/A
2007-10-23,1395740,2182790,#N/A N/A,168.0581,#N/A N/A
2007-10-24,1391580,2176310,#N/A N/A,168.4238,#N/A N/A
2007-10-25,1385830,2167350,#N/A N/A,168.1074,#N/A N/A
2007-10-26,1393490,2179330,#N/A N/A,168.132,#N/A N/A
2007-10-29,1401440,2192080,#N/A N/A,168.0926,#N/A N/A
2007-10-30,1388790,2172330,#N/A N/A,167.7778,#N/A N/A
2007-10-31,1399400,2189060,#N/A N/A,167.4639,#N/A N/A
2007-11-01,1368910,2141890,#N/A N/A,167.151,#N/A N/A
2007-11-02,1369410,2142760,#N/A N/A,167.6265,#N/A N/A
2007-11-05,1364120,2134660,#N/A N/A,167.701,#N/A N/A
2007-11-06,1377820,2156130,#N/A N/A,167.8386,#N/A N/A
2007-11-07,1337060,2093460,#N/A N/A,168.3155,#N/A N/A
2007-11-08,1338060,2095120,#N/A N/A,169.2364,#N/A N/A
2007-11-09,1323440,2072310,#N/A N/A,169.139,#N/A N/A
2007-11-12,1315120,2059280,#N/A N/A,168.8687,#N/A N/A
2007-11-13,1354570,2121740,#N/A N/A,168.9421,#N/A N/A
2007-11-14,1344550,2106600,#N/A N/A,168.6271,#N/A N/A
2007-11-15,1334770,2091370,#N/A N/A,168.4192,#N/A N/A
2007-11-16,1338540,2097330,#N/A N/A,168.1012,#N/A N/A
2007-11-19,1319470,2067500,#N/A N/A,167.1611,#N/A N/A
2007-11-20,1327690,2080500,#N/A N/A,166.8519,#N/A N/A
2007-11-21,1320850,2069900,#N/A N/A,165.7699,#N/A N/A
2007-11-22,1320850,2069900,#N/A N/A,165.7305,#N/A N/A
2007-11-23,1339850,2099900,#N/A N/A,166.2009,#N/A N/A
2007-11-26,1309840,2052870,#N/A N/A,166.1038,#N/A N/A
2007-11-27,1329540,2083840,#N/A N/A,165.869,#N/A N/A
2007-11-28,1367810,2144480,#N/A N/A,163.9347,#N/A N/A
2007-11-29,1365810,2141500,#N/A N/A,163.5084,#N/A N/A
2007-11-30,1369610,2147470,#N/A N/A,165.528,#N/A N/A
2007-12-03,1361250,2134430,#N/A N/A,165.6344,#N/A N/A
2007-12-04,1353080,2121630,#N/A N/A,165.0688,#N/A N/A
2007-12-05,1372890,2153820,#N/A N/A,163.8604,#N/A N/A
2007-12-06,1392790,2185240,#N/A N/A,163.9874,#N/A N/A
2007-12-07,1385940,2174520,#N/A N/A,162.8639,#N/A N/A
2007-12-10,1400140,2196880,#N/A N/A,162.9434,#N/A N/A
2007-12-11,1365270,2142190,#N/A N/A,163.0701,#N/A N/A
2007-12-12,1377470,2161620,#N/A N/A,163.7322,#N/A N/A
2007-12-13,1377450,2161660,#N/A N/A,165.0608,#N/A N/A
2007-12-14,1365200,2142520,#N/A N/A,164.9789,#N/A N/A
2007-12-17,1349970,2118670,#N/A N/A,165.0059,#N/A N/A
2007-12-18,1365570,2143180,#N/A N/A,165.1944,#N/A N/A
2007-12-19,1365020,2142390,#N/A N/A,165.2205,#N/A N/A
2007-12-20,1377770,2162950,#N/A N/A,165.5731,#N/A N/A
2007-12-21,1396360,2192480,#N/A N/A,165.4836,#N/A N/A
2007-12-24,1406070,2207740,#N/A N/A,165.4447,#N/A N/A
2007-12-25,1406070,2207740,#N/A N/A,165.4708,#N/A N/A
2007-12-26,1406150,2207920,#N/A N/A,165.9343,#N/A N/A
2007-12-27,1388670,2180990,#N/A N/A,166.5987,#N/A N/A
2007-12-28,1383270,2172560,#N/A N/A,166.5348,#N/A N/A
2007-12-31,1374380,2158630,#N/A N/A,166.6126,#N/A N/A
2008-01-01,1374380,2158630,#N/A N/A,166.6385,#N/A N/A
2008-01-02,1355920,2130070,#N/A N/A,165.2523,#N/A N/A
2008-01-03,1355410,2129280,#N/A N/A,165.2523,#N/A N/A
2008-01-04,1324740,2081100,#N/A N/A,165.2255,#N/A N/A
2008-01-07,1331850,2092280,#N/A N/A,164.8204,#N/A N/A
2008-01-08,1305800,2052060,#N/A N/A,163.7715,#N/A N/A
2008-01-09,1320990,2076080,#N/A N/A,163.8041,#N/A N/A
2008-01-10,1331630,2092840,#N/A N/A,164.965,#N/A N/A
2008-01-11,1313450,2064400,#N/A N/A,167.2206,#N/A N/A
2008-01-14,1327530,2086520,#N/A N/A,167.3046,#N/A N/A
2008-01-15,1291950,2030620,#N/A N/A,169.0004,#N/A N/A
2008-01-16,1295070,2035750,#N/A N/A,170.2005,#N/A N/A
2008-01-17,1263120,1985620,#N/A N/A,169.3785,#N/A N/A
2008-01-18,1253230,1970120,#N/A N/A,170.186,#N/A N/A
2008-01-21,1253230,1970120,#N/A N/A,170.7224,#N/A N/A
2008-01-22,1240390,1949930,#N/A N/A,170.7538,#N/A N/A
2008-01-23,1276090,2006100,#N/A N/A,172.5678,#N/A N/A
2008-01-24,1282710,2016560,#N/A N/A,172.0207,#N/A N/A
2008-01-25,1262480,1984780,#N/A N/A,171.0277,#N/A N/A
2008-01-28,1283700,2018160,#N/A N/A,172.8098,#N/A N/A
2008-01-29,1283560,2018050,#N/A N/A,172.6328,#N/A N/A
2008-01-30,1281110,2014320,#N/A N/A,172.5517,#N/A N/A
2008-01-31,1300800,2045630,#N/A N/A,173.0326,#N/A N/A
2008-02-01,1316710,2070660,#N/A N/A,172.942,#N/A N/A
2008-02-04,1300320,2044910,#N/A N/A,172.0437,#N/A N/A
2008-02-05,1263390,1987030,#N/A N/A,172.2948,#N/A N/A
2008-02-06,1252300,1970380,#N/A N/A,172.3198,#N/A N/A
2008-02-07,1265780,1992090,#N/A N/A,172.3447,#N/A N/A
2008-02-08,1258070,1979980,#N/A N/A,172.3697,#N/A N/A
2008-02-11,1267890,1995530,#N/A N/A,172.5577,#N/A N/A
2008-02-12,1273730,2004810,#N/A N/A,172.9752,#N/A N/A
2008-02-13,1292700,2035440,#N/A N/A,173.582,#N/A N/A
2008-02-14,1274270,2006490,#N/A N/A,173.6076,#N/A N/A
2008-02-15,1276150,2009570,#N/A N/A,173.4208,#N/A N/A
2008-02-18,1276150,2009570,#N/A N/A,173.7222,#N/A N/A
2008-02-19,1273250,2005170,#N/A N/A,173.2997,#N/A N/A
2008-02-20,1288490,2029290,#N/A N/A,173.4378,#N/A N/A
2008-02-21,1273120,2005770,#N/A N/A,172.5357,#N/A N/A
2008-02-22,1283490,2022330,#N/A N/A,173.2525,#N/A N/A
2008-02-25,1300600,2049330,#N/A N/A,173.1332,#N/A N/A
2008-02-26,1307530,2060250,#N/A N/A,173.0157,#N/A N/A
2008-02-27,1293770,2039060,#N/A N/A,173.3802,#N/A N/A
2008-02-28,1281790,2020420,#N/A N/A,173.5801,#N/A N/A
2008-02-29,1252260,1973930,#N/A N/A,174.2219,#N/A N/A
2008-03-03,1261040,1987830,#N/A N/A,174.6338,#N/A N/A
2008-03-04,1258490,1983820,#N/A N/A,174.5416,#N/A N/A
2008-03-05,1264020,1993520,#N/A N/A,174.5692,#N/A N/A
2008-03-06,1244210,1962590,#N/A N/A,174.2529,#N/A N/A
2008-03-07,1238020,1952850,#N/A N/A,173.9333,#N/A N/A
2008-03-10,1231030,1941920,#N/A N/A,172.6569,#N/A N/A
2008-03-11,1275610,2012320,#N/A N/A,173.0213,#N/A N/A
2008-03-12,1269440,2003150,#N/A N/A,173.1574,#N/A N/A
2008-03-13,1290490,2036440,#N/A N/A,172.154,#N/A N/A
2008-03-14,1284790,2027500,#N/A N/A,172.4074,#N/A N/A
2008-03-17,1305320,2060210,#N/A N/A,171.6831,#N/A N/A
2008-03-18,1341380,2117180,#N/A N/A,173.4239,#N/A N/A
2008-03-19,1311150,2069480,#N/A N/A,172.0108,#N/A N/A
2008-03-20,1340810,2116300,#N/A N/A,172.721,#N/A N/A
2008-03-21,1340810,2116300,#N/A N/A,172.7933,#N/A N/A
2008-03-24,1337470,2111020,#N/A N/A,171.7293,#N/A N/A
2008-03-25,1330120,2099450,#N/A N/A,171.9793,#N/A N/A
2008-03-26,1332140,2102740,#N/A N/A,172.0012,#N/A N/A
2008-03-27,1313170,2073230,#N/A N/A,173.3145,#N/A N/A
2008-03-28,1302200,2056000,#N/A N/A,173.4539,#N/A N/A
2008-03-31,1310800,2069620,#N/A N/A,174.5648,#N/A N/A
2008-04-01,1341540,2118170,#N/A N/A,174.5521,#N/A N/A
2008-04-02,1334840,2108020,#N/A N/A,174.9175,#N/A N/A
2008-04-03,1337950,2112940,#N/A N/A,174.5455,#N/A N/A
2008-04-04,1338060,2113140,#N/A N/A,174.6374,#N/A N/A
